Категория товара:Непродовольственные товары , Тип товара:Мелкая бытовая техника , Наименование товара:Соковыжималка , Цена:2500.0 , Артикул:15044 , Количество:3
Категория товара:Непродовольственные товары , Тип товара:Мелкая бытовая техника , Наименование товара:Электрочайник , Цена:3300.0 , Артикул:3096 , Количество:3
Категория товара:Непродовольственные товары , Тип товара:Мелкая бытовая техника , Наименование товара:Мясорубка , Цена:5300.0 , Артикул:8139 , Количество:3
Категория товара:Непродовольственные товары , Тип товара:Мелкая бытовая техника , Наименование товара:Кофеварка , Цена:6000.0 , Артикул:6567 , Количество:3
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:8500.0 , Артикул:2247 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:10000.0 , Артикул:11157 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:18000.0 , Артикул:7314 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:19000.0 , Артикул:15745 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:21000.0 , Артикул:6934 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:23000.0 , Артикул:2542 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Крупная бытовая техника , Наименование товара:Кондиционер , Цена:25000.0 , Артикул:3993 , Количество:3
Категория товара:Непродовольственные товары , Тип товара:Крупная бытовая техника , Наименование товара:Стиральная_машина , Цена:33000.0 , Артикул:9597 , Количество:2
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:36000.0 , Артикул:1695 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Смартфон , Цена:43000.0 , Артикул:19944 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:47000.0 , Артикул:18041 , Количество:3
Категория товара:Непродовольственные товары , Тип товара:Крупная бытовая техника , Наименование товара:Холодильник , Цена:48000.0 , Артикул:3947 , Количество:2
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:54000.0 , Артикул:17653 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:55000.0 , Артикул:9424 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:73000.0 , Артикул:9459 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Телевизор , Цена:97000.0 , Артикул:1247 , Количество:5
Категория товара:Непродовольственные товары , Тип товара:Бытовая электроника , Наименование товара:Игровая_приставка , Цена:99000.0 , Артикул:20307 , Количество:3
